"strain","country","state","date","latitude","longitude","region","num_date"
"Singapore|NA|MW510262|SG(EHI)D2/07629Y13|Dengue_2|E|External|2013-06-15|2013.45205479452","Singapore","NA","2013-06-15",1.357107,103.8194992,"SEA",2013
"China|NA|MG737916|D2/China/GDsg/D15023/2015(Indonesia)|Dengue_2|E|External|2015-06-15|2015.45205479452","China","NA","2015-06-15",35.000074,104.999927,"SEA",2015
"Taiwan|NA|MG895083||Dengue_2|E|External|2015-04-20|2015.29863013699","Taiwan","NA","2015-04-20",23.9739374,120.9820179,"SEA",2015
"Indonesia|NA|MH173163|BALI-TRV-018|Dengue_2|E|External|2016-06-15|2016.45205479452","Indonesia","NA","2016-06-15",-2.4833826,117.8902853,"SEA",2016
"Indonesia|NA|MH178413|BALI-TRV-032|Dengue_2|E|External|2016-06-15|2016.45205479452","Indonesia","NA","2016-06-15",-2.4833826,117.8902853,"SEA",2016
"Indonesia|NA|KT781568|Bali_2015|Dengue_2|E|External|2015-06-15|2015.45205479452","Indonesia","NA","2015-06-15",-2.4833826,117.8902853,"SEA",2015
"Taiwan|NA|MG895077||Dengue_2|E|External|2015-02-14|2015.12054794521","Taiwan","NA","2015-02-14",23.9739374,120.9820179,"SEA",2015
"Taiwan|NA|MG895090||Dengue_2|E|External|2015-06-26|2015.48219178082","Taiwan","NA","2015-06-26",23.9739374,120.9820179,"SEA",2015
"Thailand|Bangkok|MZ636773|DV2C-TM19-19|Dengue_2|E|External|2019-11-20|2019.88493150685","Thailand","Bangkok","2019-11-20",14.8971921,100.83273,"SEA",2019
"Thailand|Bangkok|MZ636766|DV2C-TM18-33|Dengue_2|E|External|2018-07-05|2018.50684931507","Thailand","Bangkok","2018-07-05",14.8971921,100.83273,"SEA",2018
"Taiwan|NA|MG895085||Dengue_2|E|External|2015-05-10|2015.35342465753","Taiwan","NA","2015-05-10",23.9739374,120.9820179,"SEA",2015
"Indonesia|NA|MK629474|B101520215212|Dengue_2|E|External|2016-03-29|2016.23835616438","Indonesia","NA","2016-03-29",-2.4833826,117.8902853,"SEA",2016
"Indonesia|NA|KT781545|Bali_2013a|Dengue_2|E|External|2013-06-15|2013.45205479452","Indonesia","NA","2013-06-15",-2.4833826,117.8902853,"SEA",2013
"Thailand|Bangkok|MZ636787|DV2C-TM20-36|Dengue_2|E|External|2020-08-03|2020.58630136986","Thailand","Bangkok","2020-08-03",14.8971921,100.83273,"SEA",2020
"Indonesia|Bali|KM216715|D2/IDN/Bali_082/2012|Dengue_2|E|External|2012-01-29|2012.07671232877","Indonesia","Bali","2012-01-29",-2.4833826,117.8902853,"SEA",2012
"Indonesia|Bali|KM216723|D2/IDN/Bali_092/2012|Dengue_2|E|External|2012-02-06|2012.09863013699","Indonesia","Bali","2012-02-06",-2.4833826,117.8902853,"SEA",2012
"Indonesia|Bali|KM216736|D2/IDN/Bali_108/2012|Dengue_2|E|External|2012-02-06|2012.09863013699","Indonesia","Bali","2012-02-06",-2.4833826,117.8902853,"SEA",2012
"Indonesia|Bali|KM216730|D2/IDN/Bali_102/2012|Dengue_2|E|External|2012-02-24|2012.14794520548","Indonesia","Bali","2012-02-24",-2.4833826,117.8902853,"SEA",2012
"Indonesia|Bali|KM216726|D2/IDN/Bali_096/2012|Dengue_2|E|External|2012-02-13|2012.11780821918","Indonesia","Bali","2012-02-13",-2.4833826,117.8902853,"SEA",2012
"Indonesia|Bali|KM216731|D2/IDN/Bali_103/2012|Dengue_2|E|External|2012-02-24|2012.14794520548","Indonesia","Bali","2012-02-24",-2.4833826,117.8902853,"SEA",2012
"Indonesia|Bali|KM216727|D2/IDN/Bali_097/2012|Dengue_2|E|External|2012-02-13|2012.11780821918","Indonesia","Bali","2012-02-13",-2.4833826,117.8902853,"SEA",2012
"Indonesia|Bali|KM216735|D2/IDN/Bali_107/2012|Dengue_2|E|External|2012-03-06|2012.17534246575","Indonesia","Bali","2012-03-06",-2.4833826,117.8902853,"SEA",2012
"Indonesia|Bali|KM216713|D2/IDN/Bali_079/2012|Dengue_2|E|External|2012-01-25|2012.06575342466","Indonesia","Bali","2012-01-25",-2.4833826,117.8902853,"SEA",2012
"Indonesia|Lombok|KM216722|D2/IDN/Lombok_091/2012|Dengue_2|E|External|2012-02-03|2012.0904109589","Indonesia","Lombok","2012-02-03",-2.4833826,117.8902853,"SEA",2012
"Thailand|NA|KM216717|D2/THA/086/2012|Dengue_2|E|External|2012-01-31|2012.08219178082","Thailand","NA","2012-01-31",14.8971921,100.83273,"SEA",2012
"Thailand|NA|MT524500|D2H440526|Dengue_2|E|External|2018-06-15|2018.45205479452","Thailand","NA","2018-06-15",14.8971921,100.83273,"SEA",2018
"China|NA|MN923128|2017XN21603|Dengue_2|E|External|2017-08-07|2017.59726027397","China","NA","2017-08-07",35.000074,104.999927,"SEA",2017
"China|NA|MN923131|2017XN22956|Dengue_2|E|External|2017-08-11|2017.60821917808","China","NA","2017-08-11",35.000074,104.999927,"SEA",2017
"China|NA|MG677987|2017-GZ22956|Dengue_2|E|External|2017-06-15|2017.45205479452","China","NA","2017-06-15",35.000074,104.999927,"SEA",2017
"China|NA|MG840602|D2/China/GDgz/GZ11140/2016(Indonesia)|Dengue_2|E|External|2016-06-15|2016.45205479452","China","NA","2016-06-15",35.000074,104.999927,"SEA",2016
"Indonesia|Purwokerto|KY709185|PWT-018|Dengue_2|E|External|2015-06-15|2015.45205479452","Indonesia","Purwokerto","2015-06-15",-2.4833826,117.8902853,"SEA",2015
"Singapore|NA|MW510273|SG(EHI)D2/35875Y13|Dengue_2|E|External|2013-06-15|2013.45205479452","Singapore","NA","2013-06-15",1.357107,103.8194992,"SEA",2013
"Indonesia|Bali|KU509308||Dengue_2|E|External|2015-06-15|2015.45205479452","Indonesia","Bali","2015-06-15",-2.4833826,117.8902853,"SEA",2015
"China|Guangdong_Province|MN018352|D15328|Dengue_2|WG|External|2015-09-07|2015.68219178082","China","Guangdong_Province","2015-09-07",35.000074,104.999927,"SEA",2015
"China|NA|MH827534|D2/China/GDsz/D15328/2015(Taiwan)|Dengue_2|WG|External|2017-06-15|2017.45205479452","China","NA","2017-06-15",35.000074,104.999927,"SEA",2017
"China|NA|ON907579|17XN21603_D2_CHN|Dengue_2|WG|External|2017-08-07|2017.59726027397","China","NA","2017-08-07",35.000074,104.999927,"SEA",2017
"China|Guangzhou|ON890351|17XN21603_D2_CHN|Dengue_2|WG|External|2017-08-07|2017.59726027397","China","Guangzhou","2017-08-07",35.000074,104.999927,"SEA",2017
"China|Guangzhou|ON887640|18XN20677_D2_CHN|Dengue_2|WG|External|2018-08-28|2018.65479452055","China","Guangzhou","2018-08-28",35.000074,104.999927,"SEA",2018
"China|Guangzhou|MK564486|GZ18XN20677|Dengue_2|WG|External|2018-08-28|2018.65479452055","China","Guangzhou","2018-08-28",35.000074,104.999927,"SEA",2018
"China|Guangzhou|MK564487|GZ18XN20984|Dengue_2|WG|External|2018-09-03|2018.67123287671","China","Guangzhou","2018-09-03",35.000074,104.999927,"SEA",2018
"China|NA|MW721459|GZ8H/2019001/2018/II|Dengue_2|WG|External|2018-10-15|2018.78630136986","China","NA","2018-10-15",35.000074,104.999927,"SEA",2018
"China|NA|MK783204||Dengue_2|WG|External|2018-06-15|2018.45205479452","China","NA","2018-06-15",35.000074,104.999927,"SEA",2018
"China|NA|ON908226|18XN20677|Dengue_2|WG|External|2018-08-28|2018.65479452055","China","NA","2018-08-28",35.000074,104.999927,"SEA",2018
"China|NA|ON908228|17XN21603|Dengue_2|WG|External|2017-08-07|2017.59726027397","China","NA","2017-08-07",35.000074,104.999927,"SEA",2017
