"strain","country","state","date","latitude","longitude","region","num_date"
"Cambodia|NA|OP999336|109-0389|Dengue_2|WG|External|2020-09-15|2020.70410958904","Cambodia","NA","2020-09-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414731|109-0389_2020-09-04|Dengue_2|WG|External|2020-09-15|2020.70410958904","Cambodia","NA","2020-09-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414750|109-0304_2020-07-05|Dengue_2|WG|External|2020-07-15|2020.53424657534","Cambodia","NA","2020-07-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414753|109-0352_2020-08-09|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414752|109-0334_2020-07-29|Dengue_2|WG|External|2020-07-15|2020.53424657534","Cambodia","NA","2020-07-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414733|109-0350_2020-08-10|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414751|109-0318_2020-07-14|Dengue_2|WG|External|2020-07-15|2020.53424657534","Cambodia","NA","2020-07-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414757|109-0384_2020-09-01|Dengue_2|WG|External|2020-09-15|2020.70410958904","Cambodia","NA","2020-09-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414756|109-0377_2020-08-29|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OP999339|109-0384|Dengue_2|WG|External|2010-09-15|2010.70410958904","Cambodia","NA","2010-09-15",12.5433216,104.8144914,"SEA",2010
"Cambodia|NA|OL414754|109-0353_2020-08-10|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414765|109-0349_2020-08-10|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414758|109-0408_2020-09-23|Dengue_2|WG|External|2020-09-15|2020.70410958904","Cambodia","NA","2020-09-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OQ000263|109-0408|Dengue_2|WG|External|2020-09-15|2020.70410958904","Cambodia","NA","2020-09-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414749|109-0293_2020-06-17|Dengue_2|WG|External|2020-06-15|2020.45205479452","Cambodia","NA","2020-06-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414732|109-0376_2020-08-28|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414764|109-0372_2020-08-27|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414755|109-0363_2020-08-13|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Viet_Nam|NA|OQ028216|56DX-114-401|Dengue_2|WG|External|2022-05-25|2022.39452054795","Viet_Nam","NA","2022-05-25",15.9266657,107.9650855,"SEA",2022
"Viet_Nam|NA|OQ028217|28EI-003-001|Dengue_2|WG|External|2019-06-07|2019.4301369863","Viet_Nam","NA","2019-06-07",15.9266657,107.9650855,"SEA",2019
"Viet_Nam|NA|OQ028220|28EI-003-031|Dengue_2|WG|External|2019-08-14|2019.61643835616","Viet_Nam","NA","2019-08-14",15.9266657,107.9650855,"SEA",2019
"Viet_Nam|NA|OQ028225|28EI-003-118|Dengue_2|WG|External|2020-09-23|2020.72602739726","Viet_Nam","NA","2020-09-23",15.9266657,107.9650855,"SEA",2020
"Viet_Nam|NA|OQ028227|28EI-003-022|Dengue_2|WG|External|2019-07-31|2019.57808219178","Viet_Nam","NA","2019-07-31",15.9266657,107.9650855,"SEA",2019
"Cambodia|NA|ON908224|19XN17542|Dengue_2|WG|External|2019-07-08|2019.51506849315","Cambodia","NA","2019-07-08",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|ON887284|19XN17542_D2_KHM|Dengue_2|WG|External|2019-07-08|2019.51506849315","Cambodia","NA","2019-07-08",12.5433216,104.8144914,"SEA",2019
"China|NA|MN923109|19XN17542|Dengue_2|WG|External|2019-07-08|2019.51506849315","China","NA","2019-07-08",35.000074,104.999927,"SEA",2019
"Cambodia|NA|OL414718|100-0160_2019-07-29|Dengue_2|WG|External|2019-07-15|2019.53424657534","Cambodia","NA","2019-07-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414723|109-0087_2019-08-21|Dengue_2|WG|External|2019-08-15|2019.61917808219","Cambodia","NA","2019-08-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414724|109-0086_2019-08-21|Dengue_2|WG|External|2019-08-15|2019.61917808219","Cambodia","NA","2019-08-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414737|100-0477_2019-06-20|Dengue_2|WG|External|2019-06-15|2019.45205479452","Cambodia","NA","2019-06-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414739|100-0427_2019-07-23|Dengue_2|WG|External|2019-07-15|2019.53424657534","Cambodia","NA","2019-07-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414740|100-0405_2019-06-27|Dengue_2|WG|External|2019-06-15|2019.45205479452","Cambodia","NA","2019-06-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414742|100-0153_2019-06-23|Dengue_2|WG|External|2019-06-15|2019.45205479452","Cambodia","NA","2019-06-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414738|100-0428_2019-07-19|Dengue_2|WG|External|2019-06-15|2019.45205479452","Cambodia","NA","2019-06-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414722|109-0093_2019-08-22|Dengue_2|WG|External|2019-08-15|2019.61917808219","Cambodia","NA","2019-08-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414741|100-0277_2019-07-23|Dengue_2|WG|External|2019-07-15|2019.53424657534","Cambodia","NA","2019-07-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414726|109-0053_2019-08-07|Dengue_2|WG|External|2019-08-15|2019.61917808219","Cambodia","NA","2019-08-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414727|109-0049_2019-08-06|Dengue_2|WG|External|2019-08-15|2019.61917808219","Cambodia","NA","2019-08-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414745|109-0045_2019-08-06|Dengue_2|WG|External|2019-08-15|2019.61917808219","Cambodia","NA","2019-08-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414762|109-0001_2019-07-23|Dengue_2|WG|External|2019-07-15|2019.53424657534","Cambodia","NA","2019-07-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414730|109-0003_2019-07-24|Dengue_2|WG|External|2019-07-15|2019.53424657534","Cambodia","NA","2019-07-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414759|100-0432_2019-06-28|Dengue_2|WG|External|2019-06-15|2019.45205479452","Cambodia","NA","2019-06-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414763|109-0039_2019-08-02|Dengue_2|WG|External|2019-08-15|2019.61917808219","Cambodia","NA","2019-08-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL412740|100-0670_2019-07-30|Dengue_2|WG|External|2019-07-15|2019.53424657534","Cambodia","NA","2019-07-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414717|100-0430_2019-07-02|Dengue_2|WG|External|2019-07-15|2019.53424657534","Cambodia","NA","2019-07-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414725|109-0059_2019-08-09|Dengue_2|WG|External|2019-08-15|2019.61917808219","Cambodia","NA","2019-08-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414760|100-0215_2019-08-16|Dengue_2|WG|External|2019-08-15|2019.61917808219","Cambodia","NA","2019-08-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL420733|109-0008|Dengue_2|WG|External|2019-07-15|2019.53424657534","Cambodia","NA","2019-07-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL414747|100-0034_2019-08-20|Dengue_2|WG|External|2019-08-15|2019.61917808219","Cambodia","NA","2019-08-15",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|OL435143|109-358|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"China|Guangzhou|MW345921|20XN94959_D2_FULL_local|Dengue_2|WG|External|2020-10-18|2020.79452054795","China","Guangzhou","2020-10-18",35.000074,104.999927,"SEA",2020
"China|Guangzhou|MW295818|20XN94134_D2_FULL|Dengue_2|WG|External|2020-10-09|2020.7698630137","China","Guangzhou","2020-10-09",35.000074,104.999927,"SEA",2020
"China|Guangzhou|MW295816|20XN37683_D2|Dengue_2|WG|External|2020-08-07|2020.59726027397","China","Guangzhou","2020-08-07",35.000074,104.999927,"SEA",2020
"Cambodia|NA|OL414736|109-0294_2020-06-17|Dengue_2|WG|External|2020-06-15|2020.45205479452","Cambodia","NA","2020-06-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414746|109-0292_2020-06-16|Dengue_2|WG|External|2020-06-15|2020.45205479452","Cambodia","NA","2020-06-15",12.5433216,104.8144914,"SEA",2020
"Malaysia|NA|OP895919|DENV2_7030_2018|Dengue_2|WG|External|2018-11-15|2018.87123287671","Malaysia","NA","2018-11-15",4.5693754,102.2656823,"SEA",2018
"Sri_Lanka|NA|MN577545|CSF1|Dengue_2|WG|External|2017-06-15|2017.45205479452","Sri_Lanka","NA","2017-06-15",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MN577546|CSF4|Dengue_2|WG|External|2017-08-15|2017.61917808219","Sri_Lanka","NA","2017-08-15",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MN577549|N-257|Dengue_2|WG|External|2017-08-15|2017.61917808219","Sri_Lanka","NA","2017-08-15",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MN577548|N-256|Dengue_2|WG|External|2017-07-15|2017.53424657534","Sri_Lanka","NA","2017-07-15",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MN577547|N-252|Dengue_2|WG|External|2017-06-15|2017.45205479452","Sri_Lanka","NA","2017-06-15",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006136|S003|Dengue_2|WG|External|2017-10-13|2017.78082191781","Sri_Lanka","NA","2017-10-13",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006144|S111|Dengue_2|WG|External|2018-04-30|2018.32602739726","Sri_Lanka","NA","2018-04-30",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006163|S252|Dengue_2|WG|External|2018-07-10|2018.52054794521","Sri_Lanka","NA","2018-07-10",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006146|S012|Dengue_2|WG|External|2017-11-02|2017.83561643836","Sri_Lanka","NA","2017-11-02",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006139|S006|Dengue_2|WG|External|2017-10-31|2017.8301369863","Sri_Lanka","NA","2017-10-31",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006140|S008|Dengue_2|WG|External|2017-10-31|2017.8301369863","Sri_Lanka","NA","2017-10-31",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006173|S039|Dengue_2|WG|External|2018-01-22|2018.05753424658","Sri_Lanka","NA","2018-01-22",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006180|S072|Dengue_2|WG|External|2018-03-28|2018.23561643836","Sri_Lanka","NA","2018-03-28",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006153|S017|Dengue_2|WG|External|2017-11-12|2017.86301369863","Sri_Lanka","NA","2017-11-12",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006141|S010|Dengue_2|WG|External|2017-11-01|2017.83287671233","Sri_Lanka","NA","2017-11-01",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006150|S015|Dengue_2|WG|External|2017-11-16|2017.87397260274","Sri_Lanka","NA","2017-11-16",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006178|S056|Dengue_2|WG|External|2018-03-15|2018.2","Sri_Lanka","NA","2018-03-15",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006171|S037|Dengue_2|WG|External|2018-01-19|2018.04931506849","Sri_Lanka","NA","2018-01-19",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006181|S073|Dengue_2|WG|External|2018-03-29|2018.23835616438","Sri_Lanka","NA","2018-03-29",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006176|S045|Dengue_2|WG|External|2018-02-14|2018.12054794521","Sri_Lanka","NA","2018-02-14",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006186|S094|Dengue_2|WG|External|2018-04-09|2018.26849315068","Sri_Lanka","NA","2018-04-09",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006148|S013|Dengue_2|WG|External|2017-11-02|2017.83561643836","Sri_Lanka","NA","2017-11-02",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006175|S042|Dengue_2|WG|External|2018-01-30|2018.07945205479","Sri_Lanka","NA","2018-01-30",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006162|S025|Dengue_2|WG|External|2017-12-13|2017.94794520548","Sri_Lanka","NA","2017-12-13",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006179|S069|Dengue_2|WG|External|2018-03-26|2018.2301369863","Sri_Lanka","NA","2018-03-26",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006142|S103|Dengue_2|WG|External|2018-04-22|2018.30410958904","Sri_Lanka","NA","2018-04-22",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006138|S005|Dengue_2|WG|External|2017-10-25|2017.81369863014","Sri_Lanka","NA","2017-10-25",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006145|S113|Dengue_2|WG|External|2018-04-30|2018.32602739726","Sri_Lanka","NA","2018-04-30",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006184|S081|Dengue_2|WG|External|2018-04-01|2018.24657534247","Sri_Lanka","NA","2018-04-01",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006143|S106|Dengue_2|WG|External|2018-04-25|2018.31232876712","Sri_Lanka","NA","2018-04-25",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006149|S130|Dengue_2|WG|External|2018-05-17|2018.37260273973","Sri_Lanka","NA","2018-05-17",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006164|S263|Dengue_2|WG|External|2018-07-17|2018.5397260274","Sri_Lanka","NA","2018-07-17",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006177|S054|Dengue_2|WG|External|2018-03-14|2018.19726027397","Sri_Lanka","NA","2018-03-14",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006160|S022|Dengue_2|WG|External|2017-12-01|2017.91506849315","Sri_Lanka","NA","2017-12-01",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006185|S086|Dengue_2|WG|External|2018-04-03|2018.25205479452","Sri_Lanka","NA","2018-04-03",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006165|S264|Dengue_2|WG|External|2018-07-18|2018.54246575342","Sri_Lanka","NA","2018-07-18",7.5554942,80.7137847,"SEA",2018
"China|Guangdong_Province|MN018341|D17025|Dengue_2|WG|External|2017-04-20|2017.29863013699","China","Guangdong_Province","2017-04-20",35.000074,104.999927,"SEA",2017
"China|NA|MH827548|D2/China/GDfs/GD17025/2017(Maldives)|Dengue_2|WG|External|2017-06-15|2017.45205479452","China","NA","2017-06-15",35.000074,104.999927,"SEA",2017
"Singapore|NA|MW512477|SG(EHI)D2/23127Y17|Dengue_2|WG|External|2017-06-15|2017.45205479452","Singapore","NA","2017-06-15",1.357107,103.8194992,"SEA",2017
"Sri_Lanka|Kandy|MT180479|231/17kandy|Dengue_2|WG|External|2017-08-15|2017.61917808219","Sri_Lanka","Kandy","2017-08-15",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006155|S018|Dengue_2|WG|External|2017-11-21|2017.88767123288","Sri_Lanka","NA","2017-11-21",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006170|S032|Dengue_2|WG|External|2018-01-08|2018.01917808219","Sri_Lanka","NA","2018-01-08",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006174|S041|Dengue_2|WG|External|2018-01-22|2018.05753424658","Sri_Lanka","NA","2018-01-22",7.5554942,80.7137847,"SEA",2018
"Sri_Lanka|NA|MT006157|S019|Dengue_2|WG|External|2017-11-21|2017.88767123288","Sri_Lanka","NA","2017-11-21",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006161|S024|Dengue_2|WG|External|2017-12-13|2017.94794520548","Sri_Lanka","NA","2017-12-13",7.5554942,80.7137847,"SEA",2017
"Sri_Lanka|NA|MT006137|S004|Dengue_2|WG|External|2017-10-23|2017.80821917808","Sri_Lanka","NA","2017-10-23",7.5554942,80.7137847,"SEA",2017
"China|Guangdong_Province|MN018342|D17006|Dengue_2|WG|External|2017-03-23|2017.22191780822","China","Guangdong_Province","2017-03-23",35.000074,104.999927,"SEA",2017
"China|NA|MH827551|D2/China/GDgz/GD17006/2017(Maldives)|Dengue_2|WG|External|2017-06-15|2017.45205479452","China","NA","2017-06-15",35.000074,104.999927,"SEA",2017
"Singapore|NA|MW512421|SG(EHI)D2/38972Y14|Dengue_2|WG|External|2014-06-15|2014.45205479452","Singapore","NA","2014-06-15",1.357107,103.8194992,"SEA",2014
"Singapore|NA|MW512436|SG(EHI)D2/6218Y15|Dengue_2|WG|External|2015-06-15|2015.45205479452","Singapore","NA","2015-06-15",1.357107,103.8194992,"SEA",2015
"China|Guangzhou|MK564483|GZ17XN22953|Dengue_2|WG|External|2017-08-11|2017.60821917808","China","Guangzhou","2017-08-11",35.000074,104.999927,"SEA",2017
"Singapore|NA|MW512395|SG(EHI)D2/49117Y13|Dengue_2|WG|External|2013-06-15|2013.45205479452","Singapore","NA","2013-06-15",1.357107,103.8194992,"SEA",2013
"Singapore|NA|MW512418|SG(EHI)D2/47001Y14|Dengue_2|WG|External|2014-06-15|2014.45205479452","Singapore","NA","2014-06-15",1.357107,103.8194992,"SEA",2014
"China|NA|OP684143|DENV-2/CN/HZ17-1003/2017|Dengue_2|WG|External|2017-09-12|2017.69589041096","China","NA","2017-09-12",35.000074,104.999927,"SEA",2017
"China|NA|OP684151|DENV-2/CN/HZ17-1560/2017|Dengue_2|WG|External|2017-09-26|2017.73424657534","China","NA","2017-09-26",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110564||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110572||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|NA|OP684144|DENV-2/CN/HZ17-1312/2017|Dengue_2|WG|External|2017-09-18|2017.71232876712","China","NA","2017-09-18",35.000074,104.999927,"SEA",2017
"China|NA|OP684145|DENV-2/CN/HZ17-1358/2017|Dengue_2|WG|External|2017-09-20|2017.71780821918","China","NA","2017-09-20",35.000074,104.999927,"SEA",2017
"China|NA|OP684149|DENV-2/CN/HZ17-1535/2017|Dengue_2|WG|External|2017-09-26|2017.73424657534","China","NA","2017-09-26",35.000074,104.999927,"SEA",2017
"China|NA|OP684153|DENV-2/CN/HZ17-244/2017|Dengue_2|WG|External|2017-08-29|2017.65753424658","China","NA","2017-08-29",35.000074,104.999927,"SEA",2017
"China|NA|OP684173|DENV-2/CN/HZ-715/2017|Dengue_2|WG|External|2017-09-05|2017.67671232877","China","NA","2017-09-05",35.000074,104.999927,"SEA",2017
"China|NA|OP684146|DENV-2/CN/HZ17-1431/2017|Dengue_2|WG|External|2017-09-23|2017.72602739726","China","NA","2017-09-23",35.000074,104.999927,"SEA",2017
"China|NA|OP684178|DENV-2/CN/HZ17-951/2017|Dengue_2|WG|External|2017-09-11|2017.69315068493","China","NA","2017-09-11",35.000074,104.999927,"SEA",2017
"China|NA|OP684179|DENV-2/CN/HZ17-996/2017|Dengue_2|WG|External|2017-09-12|2017.69589041096","China","NA","2017-09-12",35.000074,104.999927,"SEA",2017
"China|NA|OP684156|DENV-2/CN/HZ17-30/2017|Dengue_2|WG|External|2017-08-22|2017.63835616438","China","NA","2017-08-22",35.000074,104.999927,"SEA",2017
"China|NA|OP684155|DENV-2/CN/HZ17-265/2017|Dengue_2|WG|External|2017-08-28|2017.65479452055","China","NA","2017-08-28",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110566||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110574||Dengue_2|WG|External|2017-08-15|2017.61917808219","China","Hangzhou","2017-08-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110596||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110567||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110601||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110602||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110576||Dengue_2|WG|External|2017-08-15|2017.61917808219","China","Hangzhou","2017-08-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110577||Dengue_2|WG|External|2017-08-15|2017.61917808219","China","Hangzhou","2017-08-15",35.000074,104.999927,"SEA",2017
"China|NA|OP684172|DENV-2/CN/HZ17-699/2017|Dengue_2|WG|External|2017-09-06|2017.67945205479","China","NA","2017-09-06",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110595||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|NA|OP684174|DENV-2/CN/HZ17-719/2017|Dengue_2|WG|External|2017-09-05|2017.67671232877","China","NA","2017-09-05",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110597||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|NA|OP684159|DENV-2/CN/HZ17-406-1/2017|Dengue_2|WG|External|2017-08-31|2017.66301369863","China","NA","2017-08-31",35.000074,104.999927,"SEA",2017
"China|NA|OP684171|DENV-2/CN/HZ17-67/2017|Dengue_2|WG|External|2017-08-24|2017.64383561644","China","NA","2017-08-24",35.000074,104.999927,"SEA",2017
"China|NA|OP684177|DENV-2/CN/HZ17-848/2017|Dengue_2|WG|External|2017-09-07|2017.68219178082","China","NA","2017-09-07",35.000074,104.999927,"SEA",2017
"China|NA|OP684175|DENV-2/CN/HZ17-720/2017|Dengue_2|WG|External|2017-09-05|2017.67671232877","China","NA","2017-09-05",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110594||Dengue_2|WG|External|2017-08-15|2017.61917808219","China","Hangzhou","2017-08-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110600||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110598||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110565||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110570||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110579||Dengue_2|WG|External|2017-08-15|2017.61917808219","China","Hangzhou","2017-08-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110581||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110582||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110591||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|NA|OP684148|DENV-2/CN/HZ17-1469/2017|Dengue_2|WG|External|2017-09-21|2017.72054794521","China","NA","2017-09-21",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110569||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110578||Dengue_2|WG|External|2017-08-15|2017.61917808219","China","Hangzhou","2017-08-15",35.000074,104.999927,"SEA",2017
"China|NA|OP684150|DENV-2/CN/HZ17-1536/2017|Dengue_2|WG|External|2017-09-27|2017.73698630137","China","NA","2017-09-27",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110571||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110580||Dengue_2|WG|External|2017-08-15|2017.61917808219","China","Hangzhou","2017-08-15",35.000074,104.999927,"SEA",2017
"China|NA|OP684157|DENV-2/CN/HZ17-316/2017|Dengue_2|WG|External|2017-08-30|2017.6602739726","China","NA","2017-08-30",35.000074,104.999927,"SEA",2017
"China|NA|OP684167|DENV-2/CN/HZ17-511/2017|Dengue_2|WG|External|2017-09-02|2017.66849315068","China","NA","2017-09-02",35.000074,104.999927,"SEA",2017
"China|NA|OP684158|DENV-2/CN/HZ17-333/2017|Dengue_2|WG|External|2017-08-29|2017.65753424658","China","NA","2017-08-29",35.000074,104.999927,"SEA",2017
"China|NA|OP684164|DENV-2/CN/HZ17-456/2017|Dengue_2|WG|External|2017-08-29|2017.65753424658","China","NA","2017-08-29",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110587||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|NA|OP684168|DENV-2/CN/HZ17-545/2017|Dengue_2|WG|External|2017-09-03|2017.67123287671","China","NA","2017-09-03",35.000074,104.999927,"SEA",2017
"China|Hangzhou|MH110590||Dengue_2|WG|External|2017-09-15|2017.70410958904","China","Hangzhou","2017-09-15",35.000074,104.999927,"SEA",2017
"China|NA|OP684165|DENV-2/CN/HZ17-505/2017|Dengue_2|WG|External|2017-09-01|2017.66575342466","China","NA","2017-09-01",35.000074,104.999927,"SEA",2017
